Date,Time,Contracts,Funding Rate
2019/9/10,16:00:00,BTCUSDT Perpetual,0.01
2019/9/11,00:00:00,BTCUSDT Perpetual,0.01
2019/9/11,08:00:00,BTCUSDT Perpetual,0.01
2019/9/11,16:00:00,BTCUSDT Perpetual,0.01
2019/9/12,00:00:00,BTCUSDT Perpetual,0.01
2019/9/12,08:00:00,BTCUSDT Perpetual,0.01
2019/9/12,16:00:00,BTCUSDT Perpetual,0.01
2019/9/13,00:00:00,BTCUSDT Perpetual,0.01
2019/9/13,08:00:00,BTCUSDT Perpetual,0.01
2019/9/13,16:00:00,BTCUSDT Perpetual,0.01
2019/9/14,00:00:00,BTCUSDT Perpetual,0.01
2019/9/14,08:00:00,BTCUSDT Perpetual,0.01
2019/9/14,16:00:00,BTCUSDT Perpetual,0.01
2019/9/15,00:00:00,BTCUSDT Perpetual,0.01
2019/9/15,08:00:00,BTCUSDT Perpetual,0.01
2019/9/15,16:00:00,BTCUSDT Perpetual,0.01
2019/9/16,00:00:00,BTCUSDT Perpetual,0.01
2019/9/16,08:00:00,BTCUSDT Perpetual,0.01
2019/9/16,16:00:00,BTCUSDT Perpetual,0.01
2019/9/17,00:00:00,BTCUSDT Perpetual,0.01
2019/9/17,08:00:00,BTCUSDT Perpetual,0.01
2019/9/17,16:00:00,BTCUSDT Perpetual,0.01
2019/9/18,00:00:00,BTCUSDT Perpetual,0.01
2019/9/18,08:00:00,BTCUSDT Perpetual,0.01
2019/9/18,16:00:00,BTCUSDT Perpetual,0.01
2019/9/19,00:00:00,BTCUSDT Perpetual,0.01
2019/9/19,08:00:00,BTCUSDT Perpetual,0.01
2019/9/19,16:00:00,BTCUSDT Perpetual,0.01
2019/9/20,00:00:00,BTCUSDT Perpetual,0.01
2019/9/20,08:00:00,BTCUSDT Perpetual,0.01
2019/9/20,16:00:00,BTCUSDT Perpetual,0.01
2019/9/21,00:00:00,BTCUSDT Perpetual,0.01
2019/9/21,08:00:00,BTCUSDT Perpetual,0.01
2019/9/21,16:00:00,BTCUSDT Perpetual,0.01
2019/9/22,00:00:00,BTCUSDT Perpetual,0.01
2019/9/22,08:00:00,BTCUSDT Perpetual,0.01
2019/9/22,16:00:00,BTCUSDT Perpetual,0.01
2019/9/23,00:00:00,BTCUSDT Perpetual,0.01
2019/9/23,08:00:00,BTCUSDT Perpetual,0.01
2019/9/23,16:00:00,BTCUSDT Perpetual,0.01
2019/9/24,00:00:00,BTCUSDT Perpetual,0.01
